,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
0,recipe-infos__level__container--level-1,"['[""500g  d\'abricot""', "" '60g  de beurre'"", "" '4 oeuf'"", "" '25cl  de lait'"", "" '100g  de farine'"", "" '125g  de sucre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,clafoutis aux abricots,4 personnes,1h00,Dessert,60,,4
1,recipe-infos__level__container--level-1,"['[""1 gigot d\'agneau""', "" '2branche  de romarin'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de gros sel'"", ' "" Graisse d\'oie""', "" ' Ail']""]",recipe-infos__level__container--level-2,Gigot d'agneau à l'ail et au romarin,6 personnes,00h55,Plat principal,0,,0
2,recipe-infos__level__container--level-2,"[""['1.5kg  de poulet'"", "" '1/2l  de bouillon'"", "" '4cuillère à soupe  de miel'"", "" '2 gingembre'"", ' ""4gousse  d\'ail""', "" '1/2 citron'"", "" '2cuillère à soupe  de sauce soja'"", "" ' Piment de Cayenne'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Ailerons de poulet confits au miel,4 personnes,1h05,Plat principal,0,,0
3,recipe-infos__level__container--level-3,"['[""2 blanc d\'oeuf""', "" '100g  de sucre en poudre'"", ' ""50g  d\'amande""', "" '35g  de beurre'"", "" '30g  de farine']""]",recipe-infos__level__container--level-2,Tuiles aux amandes,4 personnes,00h25,Dessert,35,,2
4,recipe-infos__level__container--level-1,"['[""75g  de poudre d\'amande""', "" '100g  de beurre'"", "" '35g  de farine'"", "" '150g  de sucre glace'"", ' ""4 blanc d\'oeuf""', ' ""goutte  d\'extrait d\'amande amère""]']",recipe-infos__level__container--level-1,Financiers au bon goût d'amande,15 personnes,00h30,Dessert,100,,4
5,recipe-infos__level__container--level-1,"[""['1paquet  de boudoir'"", "" '250g  de mascarpone'"", "" '2 oeuf'"", "" '2cuillère à soupe  de sucre'"", ' ""1boîte  d\'ananas""', "" ' Vermicelles']""]",recipe-infos__level__container--level-1,Tiramisu à l'ananas,8 personnes,00h15,Dessert,0,,2
6,recipe-infos__level__container--level-1,"['[""500g  d\'ananas""', "" '4 oeuf'"", "" '250g  de sucre en poudre'"", "" '150g  de beurre'"", "" '250g  de farine'"", "" '3cl  de rhum'"", "" '1 citron'"", "" '1sachet  de levure'"", "" '125g  de sucre'"", ' ""4cuillère à soupe  d\'eau""]']",recipe-infos__level__container--level-2,Gâteau à l'ananas facile,8 personnes,1h00,Dessert,150,,4
7,recipe-infos__level__container--level-1,"[""['4 blanc de poulet'"", "" '1 oignon'"", "" '1boîte  de lait de coco'"", ' ""1boîte  d\'ananas""', "" '2cuillère à soupe  de curry'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Poulet coco ananas,4 personnes,00h25,Plat principal,0,Yes,0
8,recipe-infos__level__container--level-1,"[""['1bocal  de fond'"", ' ""1gousse  d\'ail""', "" '1/2 citron'"", "" '1bouquet  de basilic'"", ' ""1cuillère à soupe  de poudre d\'amande""', ' ""2.5cuillère à soupe  d\'huile d\'olive""', "" '1pincée  de sel'"", "" '1pincée  de poivre']""]",recipe-infos__level__container--level-1,Tartinade d'artichauts,4 personnes,00h20,Amuse-gueule,0,,0
9,recipe-infos__level__container--level-1,"[""['4 artichaut violet'"", "" '2 oignon nouveau'"", "" '2 oeuf'"", "" '100g  de foie'"", ' "" Huile d\'olive""', "" ' Vinaigre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Artichauts cathares,4 personnes,00h25,Entrée,0,Yes,2
10,recipe-infos__level__container--level-3,"[""['8 artichaut'"", "" '2 oignon'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de persil'"", "" '3cuillère à soupe  de chapelure'"", "" '8tranche  de lard'"", "" ' Poivre'"", "" ' Sel'"", ' ""1filet  d\'huile""', ' ""15cl  d\'eau""]']",recipe-infos__level__container--level-2,Artichauts à la barigoule,4 personnes,1h10,Plat principal,0,Yes,0
11,recipe-infos__level__container--level-2,"[""[' Penne'"", ' ""1cuillère à café  d\'huile d\'olive""', ' ""150g  de coeur d\'artichaut""', "" '1 oignon'"", ' ""2gousse  d\'ail""', "" '2pincée  de sel'"", "" '1demi  de cube de bouillon'"", "" '10cl  de vin blanc'"", ' ""10cl  d\'eau""', ' ""1cuillère à soupe  de moutarde à l\'ancienne""', "" '1cuillère à soupe  de beurre']""]",recipe-infos__level__container--level-1,Penne aux artichauts,2 personnes,00h30,Plat principal,1,Yes,0
12,recipe-infos__level__container--level-1,"['[""500g  d\'asperge""', "" '250g  de mascarpone'"", ' ""1pot  d\'oeuf de lump""', "" '1 oeuf'"", "" ' Poivre'"", "" ' Sel'"", "" ' Pavot']""]",recipe-infos__level__container--level-2,Crème d'asperges en verrines,8 personnes,00h30,Amuse-gueule,0,,1
